Country,year,CAF,Bottom_Middle_Top_Third
"Palestine, State of",2019,,N/A
Indonesia,2021,69,Top
Kenya,2021,58,Top
Nigeria,2021,52,Top
Myanmar,2021,51,Top
Australia,2021,49,Top
New Zealand,2021,47,Top
Ghana,2021,47,Top
Uganda,2021,46,Top
Thailand,2021,46,Top
Kosovo,2021,46,Top
Bahrain,2021,45,Top
Tajikistan,2021,45,Top
United Arab Emirates,2021,44,Top
Mongolia,2021,44,Top
Ethiopia,2021,44,Top
India,2021,44,Top
Zambia,2021,43,Top
Cameroon,2021,43,Top
Ukraine,2021,43,Top
United Kingdom of Great Britain and Northern Ireland,2021,41,Top
South Africa,2021,41,Top
Paraguay,2021,41,Top
Ireland,2021,40,Top
Nepal,2021,40,Top
Uzbekistan,2021,40,Top
Georgia,2021,40,Top
Iran (Islamic Republic of),2021,39,Top
Iraq,2021,39,Top
Dominican Republic,2021,39,Top
Chile,2021,39,Top
Canada,2021,38,Top
Kyrgyzstan,2021,38,Top
Poland,2021,38,Top
Netherlands,2021,37,Top
Denmark,2021,37,Top
Nicaragua,2021,37,Middle
Namibia,2021,37,Middle
Zimbabwe,2021,37,Middle
Bulgaria,2021,37,Middle
Norway,2021,36,Middle
Iceland,2021,36,Middle
Saudi Arabia,2021,35,Middle
Colombia,2021,35,Middle
Bolivia (Plurinational State of),2021,35,Middle
Senegal,2021,35,Middle
Venezuela (Bolivarian Republic of),2021,35,Middle
Congo,2021,35,Middle
Brazil,2021,35,Middle
Serbia,2021,35,Middle
Mauritius,2021,34,Middle
Sri Lanka,2021,34,Middle
Austria,2021,34,Middle
Sweden,2021,34,Middle
Jamaica,2021,34,Middle
Peru,2021,34,Middle
Montenegro,2021,34,Middle
Bangladesh,2021,33,Middle
Philippines,2021,33,Middle
Egypt,2021,33,Middle
Albania,2021,33,Middle
Russian Federation,2021,33,Middle
Cyprus,2021,32,Middle
Uruguay,2021,32,Middle
Slovakia,2021,32,Middle
Argentina,2021,32,Middle
Mexico,2021,32,Middle
Malta,2021,31,Middle
Finland,2021,31,Middle
Algeria,2021,31,Middle
Mali,2021,31,Middle
Hungary,2021,31,Bottom
El Salvador,2021,31,Bottom
Türkiye,2021,31,Bottom
Germany,2021,30,Bottom
Costa Rica,2021,30,Bottom
Estonia,2021,30,Bottom
