Country,2018,2019,2021,2022,CAF_2018,CAF_2019,CAF_2021,CAF_2022
Italy,45.6,46.0,46.8,47,33.0,33.0,22.0,29.0
Kosovo (under UNSC res. 1244),28.9,29.5,30.5,,,,,
Malta,39.0,39.0,39.0,43,47.0,47.0,31.0,45.0
Montenegro,37.4,37.7,38.2,39,24.0,20.0,34.0,
North Macedonia,37.2,37.6,38.3,39,,,,
Portugal,44.0,44.4,45.0,46,28.0,25.0,20.0,26.0
San Marino,44.8,45.2,46.3,,,,,
Serbia,42.3,42.5,42.9,42,21.0,19.0,35.0,46.0
Slovenia,42.4,42.6,43.2,45,39.0,38.0,28.0,39.0
Spain,42.8,43.1,43.9,45,36.0,32.0,27.0,32.0
Austria,42.3,42.4,42.8,43,44.0,45.0,34.0,45.0
Belgium,40.6,40.7,40.9,42,41.0,36.0,21.0,
France,41.0,41.2,41.6,42,32.0,30.0,25.0,32.0
Germany,45.0,45.0,44.9,46,46.0,43.0,30.0,41.0
Liechtenstein,43.0,43.2,43.7,,,,,
Luxembourg,38.5,38.5,38.7,40,41.0,40.0,,
Monaco,54.0,54.3,54.5,,,,,
Netherlands,41.6,41.6,41.7,43,51.0,53.0,37.0,46.0
Switzerland,41.5,41.6,41.8,43,45.0,45.0,28.0,37.0
Anguilla,35.1,35.7,36.7,,,,,
Antigua and Barbuda,33.4,33.8,34.7,34,,,,
Aruba,40.2,40.5,41.2,41,,,,
Bahamas,31.4,31.8,32.4,32,,,,
Barbados,38.1,38.4,38.9,40,,,,
"Bonaire, Sint Eustatius and Saba",38.5,38.8,39.4,,,,,
Virgin Islands (British),36.7,37.3,38.2,,,,,
Cayman Islands,36.1,36.4,37.2,,,,,
Cuba,40.6,40.9,41.2,42,,,,
Curaçao,36.0,35.2,36.0,42,,,,
Dominica,31.1,31.2,31.6,,,,,
Dominican Republic,26.2,26.5,27.1,28,39.0,39.0,39.0,44.0
Grenada,29.7,30.1,30.8,32,,,,
Guadeloupe,41.6,42.0,42.3,44,,,,
Haiti,22.3,22.6,23.0,24,49.0,40.0,,
Jamaica,29.3,29.8,30.8,31,36.0,,34.0,46.0
Martinique,44.7,45.3,46.3,47,,,,
Montserrat,42.7,42.1,43.0,,,,,
Puerto Rico,42.6,43.2,44.0,44,,,,
Saint Barthélemy,37.7,37.9,38.6,,,,,
Saint Kitts and Nevis,32.7,33.1,34.0,,,,,
Saint Lucia,31.9,32.3,33.1,34,,,,
Saint Martin (French part),35.2,36.2,38.2,,,,,
Saint Vincent and the Grenadines,32.1,32.5,33.0,,,,,
Sint Maarten (Dutch part),44.4,45.1,46.5,,,,,
Trinidad and Tobago,34.0,34.4,35.5,36,46.0,,,
Turks and Caicos Islands,36.3,36.7,37.4,,,,,
Virgin Islands (U.S.),42.1,42.4,42.7,,,,,
Belize,23.9,24.3,25.2,25,,,,
Costa Rica,31.5,32.0,32.9,33,34.0,38.0,30.0,44.0
El Salvador,25.1,25.5,26.3,28,22.0,25.0,31.0,36.0
Guatemala,21.1,21.4,22.1,23,34.0,40.0,,
Honduras,22.4,22.7,23.4,24,39.0,36.0,,46.0
Mexico,28.0,28.4,29.0,29,24.0,28.0,32.0,44.0
Nicaragua,23.5,23.9,24.5,26,33.0,30.0,37.0,40.0
Panama,28.0,28.3,28.8,30,30.0,35.0,,36.0
Argentina,30.5,30.8,31.3,32,28.0,28.0,32.0,47.0
Bolivia (Plurinational State of),23.2,23.5,23.9,,,,,
Brazil,31.6,32.0,32.8,33,23.0,28.0,35.0,47.0
Chile,34.0,34.3,34.9,35,34.0,37.0,39.0,38.0
Colombia,29.7,30.0,30.8,31,29.0,35.0,35.0,42.0
Ecuador,26.5,26.9,27.6,28,24.0,24.0,29.0,42.0
Falkland Islands (Malvinas),38.6,38.8,39.5,,,,,
French Guiana,23.6,23.6,23.7,25,,,,
Guyana,24.7,25.0,25.5,27,,,,
Paraguay,24.7,25.0,25.6,26,34.0,32.0,41.0,44.0
Peru,27.4,27.7,28.2,31,27.0,28.0,34.0,39.0
Suriname,27.4,27.6,27.9,29,,,,
Uruguay,34.5,34.7,35.2,36,30.0,30.0,32.0,40.0
Venezuela (Bolivarian Republic of),27.1,27.5,28.1,,,,,
Bermuda,43.7,44.1,44.9,,,,,
Canada,39.8,39.8,40.2,41,49.0,55.0,38.0,51.0
Greenland,33.4,33.5,33.9,,,,,
Saint Pierre and Miquelon,43.6,43.7,43.7,,,,,
United States of America,37.0,37.3,37.7,,58.0,58.0,,59.0
Australia,36.3,36.4,37.0,38,59.0,56.0,49.0,55.0
New Zealand,36.1,36.2,36.5,38,58.0,57.0,47.0,54.0
Fiji,26.0,26.3,26.8,28,,,,
New Caledonia,32.0,32.4,33.2,34,,,,
Papua New Guinea,21.2,21.3,21.8,22,,,,
Solomon Islands,18.9,19.0,19.3,20,,,,
Vanuatu,19.5,19.5,19.5,21,,,,
Guam,29.4,29.6,29.8,31,,,,
Kiribati,21.4,21.5,21.9,23,,,,
Marshall Islands,22.8,23.4,25.0,,,,,
Micronesia (Federated States of),22.4,22.7,23.4,,,,,
Nauru,20.1,20.2,20.3,,,,,
Northern Mariana Islands,37.4,38.0,38.7,,,,,
Palau,35.4,35.5,35.7,,,,,
American Samoa,25.4,26.1,27.6,,,,,
Cook Islands,32.0,32.5,33.1,,,,,
French Polynesia,31.5,32.0,33.0,34,,,,
Niue,35.5,35.7,35.8,,,,,
Samoa,20.3,20.4,20.6,22,,,,
Tokelau,26.6,26.4,26.5,,,,,
Tonga,21.1,21.3,21.6,22,,,,
Tuvalu,24.6,24.7,25.0,,,,,
Wallis and Futuna,34.4,35.0,35.8,,,,,
