Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Continent
Spain,0.46,0.46,0.46,0.46,0.46,0.47,0.48,0.48,0.48,0.49,0.48,0.48,0.47,0.46,0.47,0.47,0.47,0.46,0.46,0.47,0.46,0.46,0.46,0.46,0.46,0.45,0.46,0.46,0.46,0.45,0.46,0.45,0.45,0.46,0.46,0.46,0.46,0.46,0.45,0.45,0.44,0.44,Europe
Sri Lanka,0.53,0.53,0.53,0.53,0.53,0.53,0.54,0.54,0.54,0.55,0.55,0.55,0.55,0.56,0.56,0.56,0.57,0.58,0.59,0.59,0.6,0.61,0.61,0.61,0.61,0.61,0.61,0.6,0.58,0.59,0.58,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,Asia
Sudan,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,Africa
Suriname,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.69,0.69,0.68,0.68,0.67,0.67,0.68,0.67,0.65,0.66,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.64,0.66,0.66,South America
Eswatini,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.75,0.74,0.73,0.72,0.72,0.71,0.71,0.7,0.7,0.7,0.69,0.69,0.69,0.68,0.7,0.68,0.69,0.69,0.69,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,Africa
Sweden,0.35,0.35,0.36,0.36,0.37,0.37,0.37,0.37,0.38,0.37,0.36,0.36,0.36,0.37,0.4,0.4,0.39,0.41,0.41,0.41,0.39,0.38,0.39,0.4,0.4,0.41,0.42,0.42,0.41,0.4,0.42,0.41,0.39,0.4,0.4,0.41,0.39,0.4,0.4,0.4,0.42,0.42,Europe
Switzerland,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.41,0.42,0.42,0.42,0.42,0.42,0.41,0.43,0.43,0.44,0.45,0.44,0.41,0.42,0.44,0.44,0.43,0.43,0.43,0.43,0.43,0.43,0.42,0.41,0.41,0.41,Europe
Syrian Arab Republic,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,Asia
"Taiwan, Province of China",0.47,0.47,0.49,0.49,0.49,0.5,0.49,0.5,0.49,0.5,0.51,0.51,0.5,0.51,0.52,0.53,0.53,0.54,0.55,0.55,0.57,0.59,0.59,0.61,0.61,0.62,0.62,0.62,0.61,0.61,0.63,0.62,0.61,0.61,0.63,0.61,0.62,0.61,0.61,0.61,0.61,0.61,Asia
Tajikistan,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.51,0.52,0.53,0.54,0.54,0.54,0.53,0.53,0.53,0.55,0.53,0.53,0.53,0.53,0.53,0.52,0.54,0.54,0.55,0.55,0.55,0.55,Asia
"Tanzania, United Republic of",0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.56,0.56,0.56,0.56,0.57,0.57,0.58,0.58,0.59,0.59,0.59,0.6,0.6,0.61,0.59,0.59,0.59,0.6,0.6,0.6,0.61,0.61,0.61,0.61,0.61,0.61,Africa
Thailand,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.68,0.68,0.69,0.68,0.67,0.66,0.66,0.65,0.64,0.66,0.66,0.68,0.66,0.67,0.66,0.65,0.65,0.65,0.65,0.6,0.65,0.64,0.64,0.62,0.63,0.6,0.61,0.61,0.6,0.59,0.59,0.59,Asia
Timor-Leste,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.58,0.56,0.55,0.54,0.53,0.52,0.52,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,Asia
Togo,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.62,0.61,0.63,0.63,0.63,0.62,0.61,0.6,0.61,0.61,0.61,0.61,0.61,0.61,Africa
Trinidad and Tobago,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.69,0.69,0.68,0.68,0.67,0.67,0.68,0.67,0.65,0.66,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.64,0.66,0.66,North America
Tunisia,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.61,0.6,0.6,0.59,0.59,0.6,0.6,0.6,0.61,0.61,0.6,0.6,0.6,0.6,0.59,0.59,0.58,0.57,0.57,0.56,0.56,0.55,0.53,0.55,0.54,0.54,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,Africa
Türkiye,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.67,0.67,0.66,0.65,0.65,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.63,0.62,0.59,0.58,0.58,0.59,0.61,0.59,0.59,0.6,0.59,0.59,0.6,0.61,0.61,0.61,0.6,0.61,0.6,Europe
Turkmenistan,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.61,0.61,0.61,0.61,0.61,0.61,0.6,0.6,0.61,0.61,0.61,0.61,0.61,0.61,Asia
United States of America,0.45,0.46,0.47,0.48,0.49,0.49,0.49,0.5,0.51,0.51,0.51,0.51,0.52,0.52,0.52,0.53,0.54,0.54,0.54,0.55,0.55,0.54,0.54,0.54,0.55,0.56,0.57,0.56,0.56,0.58,0.57,0.57,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.57,0.58,North America
Uganda,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.61,0.61,0.6,0.59,0.6,0.62,0.63,0.64,0.65,0.65,0.64,0.64,0.63,0.63,0.63,0.64,0.63,0.63,0.62,0.61,0.61,0.62,0.62,0.62,0.62,0.63,0.63,0.63,0.63,Africa
Ukraine,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.51,0.51,0.54,0.48,0.46,0.42,0.41,0.43,0.45,0.45,0.46,0.47,0.45,0.47,0.45,0.44,0.43,0.4,0.4,0.39,0.39,0.4,0.42,0.43,0.43,0.43,0.43,0.43,0.43,Europe
United Arab Emirates,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.67,0.67,0.67,0.67,0.59,0.66,0.65,0.63,0.62,0.62,0.61,0.61,0.6,0.59,0.59,0.59,0.59,Asia
United Kingdom of Great Britain and Northern Ireland,0.41,0.41,0.41,0.41,0.42,0.42,0.43,0.43,0.44,0.44,0.46,0.47,0.47,0.47,0.47,0.48,0.48,0.48,0.49,0.49,0.48,0.49,0.49,0.5,0.49,0.5,0.5,0.5,0.49,0.47,0.47,0.48,0.49,0.5,0.48,0.47,0.47,0.47,0.47,0.47,0.47,0.47,Europe
Uruguay,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.61,0.61,0.63,0.62,0.61,0.61,0.62,0.62,0.54,0.57,0.55,0.53,0.54,0.54,0.54,0.54,0.54,0.54,0.53,0.55,0.55,South America
Uzbekistan,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.59,0.57,0.56,0.56,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.56,0.57,0.57,0.57,0.57,0.57,Asia
Venezuela (Bolivarian Republic of),0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.69,0.69,0.68,0.68,0.67,0.67,0.68,0.67,0.65,0.66,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.64,0.66,0.66,South America
Viet Nam,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.59,0.6,0.6,0.59,0.59,0.58,0.57,0.57,0.57,0.56,0.6,0.59,0.57,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,Asia
Yemen,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.67,0.67,0.67,0.68,0.68,0.69,0.69,0.69,0.69,0.69,0.68,0.69,0.69,0.69,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,Asia
Zambia,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.7,0.68,0.67,0.67,0.66,0.66,0.67,0.65,0.64,0.63,0.62,0.66,0.71,0.71,0.71,0.71,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,Africa
Zimbabwe,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.66,0.62,0.62,0.63,0.63,0.63,0.63,0.63,0.64,0.66,0.69,0.69,0.69,Africa
