Country,Year,Gini,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Colombia,1980,0.71,,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.7,0.69,0.68,0.68,0.69,0.69,0.66,0.68,0.68,0.66,0.66,0.66,0.65,0.65,0.65,0.66,0.68,0.69,0.69
Comoros,1980,0.74,,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.73,0.72,0.7,0.69,0.62,0.67,0.66,0.64,0.63,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62
Congo,1980,0.65,,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66
Costa Rica,1980,0.66,,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.67,0.66,0.66,0.67,0.68,0.67,0.67,0.68,0.66,0.67,0.67,0.7,0.7
Cote d’Ivoire,1980,0.64,,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.63,0.61,0.6,0.58,0.56,0.57,0.58,0.59,0.59,0.6,0.61,0.62,0.63,0.65,0.64,0.63,0.63,0.62,0.62,0.61,0.6,0.61,0.61,0.61,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
Croatia,1980,0.4,,0.4,0.4,0.4,0.4,0.41,0.41,0.41,0.39,0.4,0.44,0.43,0.44,0.44,0.45,0.45,0.46,0.45,0.46,0.47,0.48,0.46,0.46,0.45,0.44,0.45,0.46,0.46,0.47,0.47,0.47,0.46,0.47,0.47,0.46,0.47,0.47,0.46,0.46,0.47,0.47,0.47,0.47
Cuba,1980,0.64,,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.65,0.65,0.64,0.63,0.62,0.61,0.63,0.61,0.57,0.59,0.57,0.56,0.56,0.56,0.56,0.56,0.57,0.57,0.57,0.59,0.59
Cyprus,1980,0.49,,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.48,0.48,0.47,0.51,0.48,0.47,0.48,0.49,0.48,0.43,0.43,0.44,0.43,0.47,0.49,0.46,0.49,0.5,0.53,0.5,0.5,0.48,0.47,0.49,0.46,0.46,0.46
Czech Republic,1980,0.28,,0.28,0.26,0.27,0.27,0.27,0.27,0.27,0.27,0.28,0.28,0.3,0.32,0.35,0.37,0.39,0.38,0.39,0.38,0.39,0.39,0.39,0.39,0.38,0.38,0.39,0.39,0.39,0.39,0.41,0.38,0.39,0.37,0.39,0.38,0.39,0.4,0.39,0.39,0.38,0.38,0.38,0.38
DR Congo,1980,0.61,,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
Denmark,1980,0.37,,0.37,0.37,0.37,0.38,0.38,0.39,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.39,0.4,0.4,0.41,0.41,0.4,0.39,0.38,0.39,0.4,0.41,0.4,0.4,0.44,0.42,0.42,0.42,0.43,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.45
Djibouti,1980,0.59,,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.6,0.6,0.6,0.61,0.61,0.6,0.62,0.62,0.62,0.62,0.62,0.61,0.61,0.6,0.6,0.6,0.6,0.6
Dominican Republic,1980,0.67,,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.68,0.67,0.67,0.67,0.68,0.67,0.67,0.67,0.64,0.68,0.64,0.64,0.64
Ecuador,1980,0.68,,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.67,0.65,0.64,0.68,0.63,0.59,0.64,0.6,0.62,0.61,0.59,0.58,0.57,0.59,0.59,0.58,0.63,0.63
Egypt,1980,0.55,,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.54,0.54,0.54,0.56,0.57,0.58,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.58,0.57,0.57,0.58,0.58,0.59,0.59,0.59,0.58,0.58,0.57,0.57,0.57
El Salvador,1980,0.67,,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.65,0.65,0.68,0.65,0.66,0.66,0.6,0.64,0.63,0.62,0.66,0.66,0.63,0.64,0.62,0.6,0.6,0.6,0.6
Equatorial Guinea,1980,0.63,,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.62,0.62,0.62,0.62,0.62,0.62,0.61,0.63,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.63,0.63,0.63,0.63,0.63
Eritrea,1980,0.62,,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.63,0.64,0.65,0.66,0.67,0.63,0.59,0.56,0.52,0.52,0.52,0.52,0.53,0.53,0.53,0.53,0.54,0.54,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55
Estonia,1980,0.36,,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.41,0.46,0.49,0.5,0.53,0.55,0.55,0.56,0.55,0.54,0.54,0.55,0.54,0.55,0.57,0.54,0.56,0.53,0.52,0.5,0.48,0.49,0.5,0.51,0.52,0.52,0.49,0.49,0.48,0.48,0.53,0.52,0.52
Ethiopia,1980,0.55,,0.55,0.55,0.56,0.56,0.57,0.58,0.59,0.6,0.61,0.61,0.62,0.63,0.64,0.65,0.66,0.67,0.63,0.59,0.56,0.52,0.52,0.52,0.52,0.53,0.53,0.53,0.53,0.54,0.54,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55
Finland,1980,0.39,,0.39,0.39,0.39,0.39,0.38,0.39,0.38,0.39,0.39,0.39,0.37,0.36,0.36,0.36,0.39,0.4,0.41,0.42,0.42,0.43,0.44,0.43,0.43,0.42,0.43,0.42,0.43,0.43,0.45,0.44,0.44,0.44,0.43,0.43,0.43,0.44,0.44,0.44,0.44,0.44,0.45,0.45
France,1980,0.43,,0.43,0.42,0.42,0.43,0.43,0.43,0.44,0.45,0.45,0.46,0.45,0.45,0.44,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.44,0.45,0.45,0.45,0.44,0.45,0.45,0.42,0.44,0.44,0.44,0.43,0.44,0.43,0.43,0.42,0.42,0.43,0.41,0.42
Gabon,1980,0.61,,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.6,0.6,0.56,0.59,0.59,0.58,0.58,0.57,0.57,0.56,0.56,0.56,0.56,0.56,0.56
Gambia,1980,0.66,,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.65,0.65,0.65,0.65,0.64,0.64,0.56,0.63,0.62,0.61,0.59,0.58,0.56,0.56,0.56,0.56,0.56,0.56,0.56
Georgia,1980,0.57,,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.59,0.61,0.59,0.59,0.59,0.57,0.56,0.56,0.57,0.57,0.59,0.58,0.59,0.57,0.61,0.58,0.61,0.58,0.58,0.59,0.6,0.59,0.59,0.59,0.59
German Democratic Republic,1980,0.29,,0.29,0.29,0.29,0.29,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,1980,0.4,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.41,0.43,0.44,0.44,0.43,0.42,0.41,0.41,0.41,0.42,0.43,0.44,0.44,0.44,0.44,0.44,0.43,0.44,0.47,0.47,0.48,0.48,0.49,0.48,0.48,0.48,0.5,0.5,0.5,0.5,0.49,0.49,0.49,0.49,0.49
Ghana,1980,0.55,,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.56,0.57,0.57,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.59,0.59,0.6,0.6,0.61,0.61,0.61,0.61,0.61,0.61,0.6,0.6,0.6,0.6,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61
Greece,1980,0.49,,0.49,0.51,0.5,0.48,0.48,0.49,0.48,0.47,0.48,0.47,0.48,0.47,0.46,0.48,0.5,0.5,0.5,0.52,0.53,0.53,0.54,0.54,0.52,0.5,0.5,0.51,0.49,0.48,0.46,0.45,0.46,0.45,0.46,0.46,0.49,0.48,0.47,0.46,0.45,0.45,0.44,0.44
Guatemala,1980,0.68,,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.69,0.69,0.68,0.68,0.67,0.67,0.68,0.67,0.65,0.66,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.64,0.66,0.66
Guinea,1980,0.62,,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.63,0.64,0.65,0.64,0.64,0.64,0.64,0.63,0.63,0.63,0.62,0.62,0.61,0.6,0.59,0.58,0.57,0.49,0.56,0.55,0.54,0.53,0.52,0.52,0.51,0.5,0.49,0.49,0.49,0.49
Guinea-Bissau,1980,0.7,,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.67,0.63,0.62,0.61,0.61,0.6,0.59,0.58,0.57,0.57,0.56,0.57,0.59,0.61,0.62,0.64,0.65,0.55,0.69,0.67,0.65,0.64,0.62,0.6,0.59,0.57,0.55,0.55,0.55,0.55
Guyana,1980,0.68,,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.69,0.69,0.68,0.68,0.67,0.67,0.68,0.67,0.65,0.66,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.64,0.66,0.66
Haiti,1980,0.68,,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.69,0.69,0.68,0.68,0.67,0.67,0.68,0.67,0.65,0.66,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.64,0.66,0.66
Honduras,1980,0.68,,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.69,0.69,0.68,0.68,0.67,0.67,0.68,0.67,0.65,0.66,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.64,0.66,0.66
Hong Kong,1980,0.53,,0.53,0.53,0.52,0.52,0.52,0.52,0.52,0.53,0.54,0.54,0.55,0.55,0.55,0.54,0.54,0.53,0.53,0.54,0.54,0.55,0.55,0.56,0.57,0.58,0.59,0.6,0.61,0.61,0.61,0.59,0.61,0.61,0.61,0.6,0.6,0.6,0.59,0.59,0.59,0.59,0.59,0.59
Hungary,1980,0.25,,0.25,0.25,0.24,0.23,0.21,0.21,0.22,0.23,0.24,0.27,0.3,0.33,0.35,0.35,0.35,0.34,0.34,0.35,0.36,0.37,0.37,0.39,0.41,0.41,0.4,0.41,0.43,0.44,0.43,0.43,0.43,0.42,0.41,0.43,0.42,0.43,0.42,0.42,0.43,0.43,0.43,0.43
Iceland,1980,0.42,,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.43,0.42,0.44,0.44,0.44,0.42,0.42,0.43,0.45,0.4,0.38,0.38,0.38,0.38,0.4,0.4,0.4,0.4,0.39,0.38,0.37,0.37,0.38
India,1980,0.44,,0.44,0.43,0.43,0.47,0.46,0.47,0.47,0.47,0.48,0.48,0.46,0.46,0.47,0.49,0.5,0.5,0.49,0.5,0.5,0.51,0.51,0.52,0.53,0.54,0.55,0.56,0.57,0.58,0.59,0.63,0.61,0.62,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63
Indonesia,1980,0.53,,0.53,0.53,0.53,0.53,0.53,0.54,0.55,0.56,0.56,0.57,0.57,0.57,0.58,0.58,0.59,0.59,0.6,0.56,0.51,0.5,0.5,0.51,0.52,0.52,0.53,0.54,0.53,0.54,0.59,0.6,0.56,0.57,0.56,0.56,0.55,0.57,0.55,0.54,0.6,0.6,0.6,0.6
Iran,1980,0.66,,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.65,0.64,0.63,0.63,0.63,0.62,0.62,0.62,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.64,0.63,0.62,0.61,0.61,0.6,0.59,0.58,0.59,0.59,0.59,0.6,0.61,0.61,0.61,0.61
Iraq,1980,0.64,,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.63,0.61,0.62,0.62,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61
