Country,CAF World Giving Index score (%) 2018,Helping a stranger (%) 2018,Donating money (%) 2018,Volunteering time (%) 2018,CAF World Giving Index score (%) 2019,Helping a stranger (%) 2019,Donating money (%) 2019,Volunteering time (%) 2019,CAF World Giving Index score (%) 2021,Helping a stranger (%) 2021,Donating money (%) 2021,Volunteering time (%) 2021,CAF World Giving Index score (%) 2022,Helping a stranger (%) 2022,Donating money (%) 2022,Volunteering time (%) 2022
Philippines,28,44.0,13,28,39.0,54.0,24.0,38.0,33.0,62.0,16.0,23.0,47.0,75.0,26.0,39.0
Bosnia and Herzegovina,28,37.0,40,7,,,,,,,,,44.0,62.0,60.0,10.0
Pakistan,28,43.0,27,13,29.0,42.0,32.0,13.0,25.0,42.0,24.0,8.0,29.0,53.0,25.0,10.0
Algeria,28,54.0,13,17,,,,,31.0,60.0,16.0,18.0,30.0,58.0,18.0,14.0
Mali,28,52.0,11,20,24.0,48.0,12.0,12.0,31.0,58.0,11.0,24.0,38.0,63.0,18.0,32.0
Argentina,28,52.0,16,15,28.0,49.0,18.0,16.0,32.0,58.0,21.0,16.0,47.0,76.0,33.0,31.0
Lesotho,28,58.0,5,20,,,,,,,,,,,,
Kazakhstan,28,35.0,32,16,26.0,39.0,21.0,20.0,28.0,43.0,29.0,12.0,34.0,47.0,39.0,16.0
Botswana,27,59.0,8,16,30.0,61.0,13.0,18.0,,,,,,,,
Ethiopia,27,43.0,17,23,26.0,43.0,19.0,17.0,44.0,66.0,36.0,30.0,,,,
Moldova (Republic of),27,45.0,24,13,26.0,41.0,20.0,16.0,,,,,,,,
Madagascar,27,39.0,12,31,21.0,29.0,11.0,24.0,,,,,,,,
Peru,27,47.0,15,20,28.0,46.0,18.0,19.0,34.0,65.0,21.0,18.0,39.0,70.0,22.0,24.0
Chad,27,50.0,16,16,25.0,43.0,16.0,16.0,,,,,,,,
Romania,27,54.0,20,6,24.0,45.0,20.0,7.0,28.0,57.0,21.0,7.0,30.0,61.0,18.0,11.0
Rwanda,26,39.0,22,18,21.0,33.0,17.0,14.0,,,,,,,,
Morocco,26,65.0,5,9,26.0,52.0,18.0,7.0,23.0,60.0,3.0,6.0,31.0,73.0,7.0,14.0
Benin,26,48.0,13,17,23.0,42.0,13.0,15.0,29.0,61.0,12.0,13.0,32.0,54.0,19.0,24.0
Egypt,26,57.0,14,6,23.0,49.0,16.0,6.0,33.0,71.0,18.0,10.0,23.0,57.0,7.0,4.0
Venezuela,26,51.0,11,15,23.0,42.0,13.0,13.0,35.0,68.0,13.0,23.0,45.0,82.0,22.0,30.0
Albania,26,42.0,28,7,23.0,39.0,21.0,9.0,33.0,58.0,31.0,11.0,34.0,57.0,36.0,8.0
Estonia,26,34.0,27,16,25.0,37.0,20.0,17.0,30.0,43.0,29.0,18.0,40.0,55.0,43.0,20.0
Russian Federation,25,44.0,21,11,21.0,35.0,12.0,16.0,33.0,57.0,28.0,14.0,46.0,71.0,42.0,24.0
Côte d'Ivoire,25,55.0,12,7,,,,,,,,,,,,
Poland,24,34.0,24,15,25.0,37.0,28.0,11.0,38.0,56.0,36.0,21.0,47.0,66.0,50.0,25.0
Gabon,24,54.0,9,10,27.0,57.0,12.0,11.0,26.0,56.0,12.0,10.0,34.0,73.0,11.0,17.0
Mexico,24,45.0,13,14,28.0,45.0,20.0,18.0,32.0,60.0,21.0,16.0,44.0,76.0,30.0,27.0
Congo (Brazzaville),24,51.0,8,14,27.0,55.0,11.0,15.0,35.0,62.0,19.0,23.0,,,,
Montenegro,24,38.0,25,9,20.0,33.0,20.0,8.0,34.0,53.0,39.0,11.0,,,,
Togo,24,46.0,11,14,,,,,,,,,34.0,57.0,22.0,23.0
Georgia,24,47.0,6,17,21.0,41.0,6.0,18.0,40.0,76.0,9.0,34.0,31.0,68.0,3.0,22.0
Ecuador,24,40.0,13,18,24.0,40.0,18.0,15.0,29.0,57.0,13.0,17.0,42.0,74.0,21.0,30.0
Hungary,23,36.0,22,12,23.0,38.0,20.0,9.0,31.0,58.0,25.0,9.0,40.0,73.0,33.0,13.0
Belarus,23,31.0,21,19,25.0,32.0,18.0,25.0,,,,,,,,
Brazil,23,43.0,14,13,28.0,46.0,22.0,15.0,35.0,63.0,26.0,15.0,47.0,76.0,41.0,25.0
Armenia,23,45.0,15,9,21.0,46.0,10.0,8.0,,,,,29.0,61.0,16.0,11.0
India,22,31.0,20,15,26.0,34.0,24.0,19.0,44.0,61.0,36.0,34.0,40.0,57.0,31.0,33.0
Czech Republic,22,26.0,21,19,22.0,29.0,22.0,15.0,30.0,45.0,25.0,19.0,48.0,64.0,55.0,24.0
Bulgaria,22,42.0,18,5,19.0,36.0,16.0,5.0,37.0,64.0,34.0,12.0,41.0,72.0,34.0,18.0
El Salvador,22,39.0,10,15,25.0,43.0,13.0,18.0,31.0,56.0,15.0,22.0,36.0,61.0,20.0,27.0
Japan,22,23.0,18,23,23.0,24.0,23.0,22.0,12.0,12.0,12.0,12.0,20.0,24.0,18.0,17.0
Serbia,21,34.0,24,6,19.0,28.0,22.0,6.0,35.0,54.0,47.0,5.0,46.0,68.0,60.0,9.0
Macedonia (FYRO),20,30.0,26,5,,,,,,,,,,,,
Turkey,20,40.0,12,9,,,,,31.0,59.0,25.0,10.0,40.0,75.0,33.0,11.0
Croatia,20,25.0,25,11,21.0,30.0,22.0,9.0,30.0,53.0,29.0,7.0,37.0,63.0,37.0,10.0
Mauritania,20,37.0,8,14,25.0,41.0,19.0,15.0,,,,,,,,
Lao People's DemocraticRepublic,20,22.0,33,4,,,,,,,,,,,,
Tunisia,20,44.0,7,8,24.0,52.0,10.0,9.0,29.0,68.0,8.0,12.0,28.0,63.0,9.0,13.0
Afghanistan,19,41.0,6,11,31.0,51.0,25.0,17.0,,,,,21.0,44.0,7.0,13.0
Latvia,19,28.0,21,9,22.0,32.0,25.0,10.0,25.0,41.0,29.0,7.0,29.0,50.0,27.0,10.0
Lithuania,19,,19,18,19.0,37.0,12.0,11.0,28.0,43.0,25.0,16.0,37.0,64.0,27.0,19.0
Azerbaijan,18,35.0,8,12,24.0,38.0,14.0,20.0,,,,,,,,
Cambodia,18,18.0,30,6,24.0,24.0,40.0,8.0,28.0,44.0,28.0,13.0,19.0,23.0,24.0,10.0
Palestine (State of),17,37.0,7,9,,,,,,,,,,,,
China,17,31.0,14,7,16.0,31.0,11.0,5.0,28.0,49.0,22.0,14.0,42.0,65.0,35.0,28.0
Greece,17,36.0,7,7,16.0,36.0,7.0,6.0,26.0,53.0,12.0,14.0,32.0,57.0,21.0,17.0
Yemen,15,36.0,2,6,17.0,41.0,6.0,5.0,,,,,,,,
