Country,GDPpc_2018,GDPpc_2019,GDPpc_2021,GDPpc_2022,2018,2019,2021,2022
Japan,39727.12,40458.0,39285.16,42248.0,22.0,23.0,12.0,20.0
Jordan,4308.15,4405.49,4405.84,113.0,30.0,25.0,26.0,32.0
Kazakhstan,9812.63,9812.6,10041.49,26565.0,28.0,26.0,28.0,34.0
Kenya,1794.09,1909.3,2006.83,147.0,54.0,47.0,58.0,61.0
Kiribati,1693.95,1512.95,,2200.0,,,,
"Korea, Rep.",33436.92,31902.42,34757.72,,,,,
Kosovo,4384.05,4416.11,4986.58,,33.0,31.0,46.0,43.0
Kuwait,33399.06,32373.25,,32.0,43.0,,,
Kyrgyz Republic,1308.14,1374.03,1276.24,,,,,
Lao PDR,2569.09,2613.94,2551.33,,,,,
Latvia,17865.03,17926.84,20642.17,31509.0,19.0,22.0,25.0,29.0
Lebanon,8003.83,7527.44,2670.44,107.0,28.0,30.0,24.0,24.0
Lesotho,1192.48,1153.39,1166.46,167.0,28.0,,,
Liberia,710.27,672.34,673.09,186.0,47.0,44.0,,
Libya,11482.13,10218.04,6018.45,5893.0,45.0,,,
Liechtenstein,176499.4,169049.16,,,,,,
Lithuania,19186.18,19575.77,23433.39,38824.0,19.0,19.0,28.0,37.0
Luxembourg,117254.74,113218.71,135682.79,118001.0,41.0,40.0,,
"Macao SAR, China",87526.08,86197.37,45421.63,,,,,
Madagascar,518.4,526.22,514.91,185.0,27.0,21.0,,
Malawi,544.59,591.85,642.66,190.0,35.0,38.0,,39.0
Malaysia,11380.08,11432.83,11371.1,27402.0,,,,
Maldives,10279.08,10561.61,8994.64,69.0,,,,
Mali,894.8,879.04,917.91,173.0,28.0,24.0,31.0,38.0
Malta,31573.12,31185.65,33257.42,42856.0,47.0,47.0,31.0,45.0
Marshall Islands,3793.55,4073.11,4170.98,3786.0,,,,
Mauritania,1669.77,1743.3,1723.01,133.0,20.0,25.0,,
Mauritius,11208.34,11097.17,8812.11,65.0,46.0,,34.0,37.0
Mexico,9686.98,9950.22,9926.42,72.0,24.0,28.0,32.0,44.0
"Micronesia, Fed. Sts.",3568.29,3624.25,3476.65,,,,,
Moldova,4230.63,4492.11,5314.53,12811.0,,,,
Monaco,185978.61,189487.15,,,,,,
Mongolia,4156.85,4404.85,4534.92,11825.0,39.0,38.0,44.0,46.0
Montenegro,8850.38,8909.89,9367.02,,24.0,20.0,34.0,
Morocco,3226.98,3235.0,3496.76,7620.0,26.0,26.0,23.0,31.0
Mozambique,503.3,506.82,500.44,187.0,29.0,,,34.0
Myanmar,1250.17,1271.11,1187.24,5242.0,54.0,58.0,51.0,52.0
Namibia,5588.39,5028.3,4729.27,118.0,32.0,,37.0,35.0
Nauru,11614.67,11029.74,12252.27,9856.0,,,,
Nepal,1178.53,1194.96,1222.88,152.0,37.0,33.0,40.0,40.0
Netherlands,53044.53,52476.27,58061.0,57534.0,51.0,53.0,37.0,46.0
New Caledonia,36382.5,34788.54,,,,,,
New Zealand,43250.44,42865.23,48801.69,42018.0,58.0,57.0,47.0,54.0
Nicaragua,2014.58,1924.47,2090.75,136.0,33.0,30.0,37.0,40.0
Niger,570.72,554.1,594.93,188.0,32.0,24.0,,
Nigeria,2027.78,2229.86,2085.03,142.0,48.0,42.0,52.0,48.0
North Macedonia,6108.74,6070.39,6720.9,16712.0,,,,
Northern Mariana Islands,22886.67,20659.64,,,,,,
Norway,82267.81,75719.75,89202.75,65800.0,50.0,,36.0,45.0
Oman,18947.37,17700.7,16439.3,50.0,,,,
Pakistan,1678.04,1481.81,1537.94,144.0,28.0,29.0,25.0,29.0
Palau,15895.26,15232.49,,14309.0,,,,
Panama,15545.0,15774.25,14516.46,56.0,30.0,35.0,,36.0
Papua New Guinea,2801.37,2820.31,2916.36,3833.0,,,,
Paraguay,5782.78,5383.57,5400.1,97.0,34.0,32.0,41.0,44.0
Peru,6958.5,7023.08,6692.25,104.0,27.0,28.0,34.0,39.0
Philippines,3252.11,3485.34,3548.83,8452.0,28.0,39.0,33.0,47.0
Poland,15468.48,15732.2,17840.92,34103.0,24.0,25.0,38.0,47.0
Portugal,23562.55,23330.82,24262.18,34043.0,28.0,25.0,20.0,26.0
Puerto Rico,31604.7,32850.55,,34025.0,,,,
Qatar,65907.95,62087.97,61276.0,4.0,,,,
Romania,12398.98,12899.35,14861.91,30526.0,27.0,24.0,28.0,30.0
Russian Federation,11287.36,11536.25,12172.79,,25.0,21.0,33.0,46.0
Rwanda,783.81,820.18,833.83,176.0,26.0,21.0,,
Samoa,4187.5,4322.87,3939.11,5653.0,,,,
San Marino,48996.59,47727.13,,58427.0,,,,
Sao Tome and Principe,1953.51,1987.58,2449.33,,,,,
Saudi Arabia,24228.84,23450.56,23585.89,25.0,37.0,34.0,35.0,36.0
Senegal,1458.08,1435.83,1606.47,158.0,28.0,28.0,35.0,40.0
Serbia,7252.4,7417.2,9214.99,19146.0,21.0,19.0,35.0,46.0
Seychelles,16910.67,17252.02,13306.73,58.0,,,,
Sierra Leone,533.99,521.75,515.93,183.0,47.0,42.0,,51.0
Singapore,66859.34,65831.19,72794.0,97057.0,54.0,35.0,,45.0
Sint Maarten (Dutch part),28988.26,,,,,,,
Slovak Republic,19389.98,19303.55,21087.85,,,,,
Slovenia,26116.86,25942.95,29200.82,40067.0,39.0,38.0,28.0,39.0
Solomon Islands,2411.9,2344.05,2336.97,2455.0,,,,
Somalia,389.83,419.39,445.78,192.0,,,,
South Africa,7005.1,6624.76,6994.21,103.0,41.0,36.0,41.0,35.0
Spain,30364.58,29554.49,30115.71,39121.0,36.0,32.0,27.0,32.0
Sri Lanka,4059.21,3848.21,3814.72,94.0,45.0,51.0,34.0,44.0
St. Kitts and Nevis,20567.26,22047.88,18230.13,,,,,
St. Lucia,11353.72,11591.08,9571.0,,,,,
St. Vincent and the Grenadines,8024.03,8229.72,7996.61,,,,,
Sudan,773.51,755.33,764.34,4098.0,,,,
Suriname,6938.09,6853.69,4836.33,86.0,,,,
Sweden,54589.06,51939.43,60238.99,54146.0,41.0,40.0,34.0,42.0
Switzerland,86388.4,85334.52,93457.44,72874.0,45.0,45.0,28.0,37.0
Syrian Arab Republic,1265.61,,,,,,,
Tajikistan,853.22,890.54,897.09,156.0,42.0,36.0,45.0,39.0
Tanzania,1042.84,1085.88,1135.54,166.0,,,,
Thailand,7298.95,7814.38,7233.39,18236.0,34.0,42.0,46.0,48.0
Timor-Leste,1249.14,1583.71,1457.83,3382.0,,,,
Togo,901.52,893.35,992.33,180.0,24.0,,,34.0
Tonga,4740.7,4903.01,,6191.0,,,,
Trinidad and Tobago,17139.19,17123.12,15243.12,25031.0,46.0,,,
Tunisia,3690.9,3571.95,3924.34,10120.0,20.0,24.0,29.0,28.0
Turkiye,9454.35,9121.52,9586.61,,,,,
Turkmenistan,6967.38,7612.04,,80.0,40.0,43.0,,
Turks and Caicos Islands,29553.14,31350.87,24047.05,,,,,
Tuvalu,4156.31,4652.35,5291.49,4497.0,,,,
Uganda,770.6,798.59,858.06,171.0,39.0,38.0,46.0,46.0
Ukraine,3096.56,3661.46,4835.57,13110.0,29.0,24.0,43.0,49.0
United Arab Emirates,43839.32,42701.44,,11.0,51.0,45.0,44.0,47.0
United Kingdom,43646.95,43070.5,47334.36,44117.0,55.0,54.0,41.0,47.0
United States,62805.25,65094.8,69287.54,63416.0,,,,
Uruguay,18703.86,17688.02,17020.65,62.0,30.0,30.0,32.0,40.0
Uzbekistan,1597.07,1784.01,1983.06,126.0,36.0,41.0,40.0,38.0
Vanuatu,3125.44,3122.98,3127.45,2586.0,,,,
Vietnam,3230.93,3425.09,3694.02,10869.0,,,,
Virgin Islands (U.S.),36653.86,38596.03,,,,,,
West Bank and Gaza,3562.33,3656.86,3663.97,,,,,
"Yemen, Rep.",758.15,750.55,690.76,,,,,
Zambia,1516.37,1305.0,1120.63,162.0,46.0,39.0,43.0,50.0
Zimbabwe,1254.64,1316.74,1737.17,168.0,30.0,29.0,37.0,31.0
