Country,year,GDPpc,WGI
Iraq,2022,10003,37
Ireland,2022,94392,49
Israel,2022,40547,37
Italy,2022,40861,29
Japan,2022,42248,20
Jordan,2022,10306,32
Kazakhstan,2022,26565,34
Kenya,2022,4926,61
Latvia,2022,31509,29
Lebanon,2022,11564,24
Lithuania,2022,38824,37
Mali,2022,2401,38
Malta,2022,42856,45
Mexico,2022,19130,44
Mongolia,2022,11825,46
Morocco,2022,7620,31
Myanmar,2022,5242,52
Nepal,2022,4061,40
Netherlands,2022,57534,46
New Zealand,2022,42018,54
Nicaragua,2022,5575,40
Nigeria,2022,5187,48
Pakistan,2022,5150,29
Paraguay,2022,12881,44
Peru,2022,11871,39
Philippines,2022,8452,47
Poland,2022,34103,47
Portugal,2022,34043,26
Romania,2022,30526,30
Russian Federation,2022,27903,46
Saudi Arabia,2022,46811,36
Senegal,2022,3478,40
Serbia,2022,19146,46
Slovakia,2022,32709,41
Slovenia,2022,40067,39
South Africa,2022,12032,35
Spain,2022,39121,32
Sri Lanka,2022,13214,44
Sweden,2022,54146,42
Switzerland,2022,72874,37
Tajikistan,2022,3676,39
Thailand,2022,18236,48
Tunisia,2022,10120,28
Uganda,2022,2574,46
Ukraine,2022,13110,49
United Arab Emirates,2022,58753,47
United Kingdom of Great Britain and Northern Ireland,2022,44117,47
Uruguay,2022,22459,40
Uzbekistan,2022,7449,38
Zambia,2022,3342,50
Zimbabwe,2022,2622,31
