Country,2017,2018,2020,2021,2022,CAF_2017,CAF_2018,CAF_2020,CAF_2021
Papua New Guinea,2495.13,2584.3,2446.07,2672.95,3833.0,,,,
Paraguay,6136.06,6242.96,5353.35,5891.5,12881.0,34.0,32.0,41.0,44.0
Peru,6676.28,6912.11,6056.34,6621.57,11871.0,27.0,28.0,34.0,39.0
Philippines,3077.44,3194.67,3224.42,3460.53,8452.0,28.0,39.0,33.0,47.0
Poland,13815.62,15504.58,15816.99,17999.91,34103.0,24.0,25.0,38.0,47.0
Portugal,21490.43,23562.55,22242.41,24567.51,34043.0,28.0,25.0,20.0,26.0
Puerto Rico,31108.76,31615.07,31393.91,32640.71,34025.0,,,,
Qatar,59407.7,66264.08,52315.66,66838.36,93508.0,,,,
Romania,10727.95,12494.48,13047.43,14858.23,30526.0,27.0,24.0,28.0,30.0
Russian Federation,10720.33,11287.36,10169.09,12194.78,27903.0,25.0,21.0,33.0,46.0
Rwanda,756.55,769.44,774.69,822.35,2337.0,26.0,21.0,,
Samoa,4261.65,4188.99,4042.75,3857.32,5653.0,,,,
San Marino,44885.8,48462.96,45320.21,,58427.0,,,,
Sao Tome and Principe,1805.52,1950.63,2161.31,2360.54,,,,,
Saudi Arabia,20138.15,23318.74,19539.57,23185.87,46811.0,37.0,34.0,35.0,36.0
Senegal,1385.2,1484.24,1490.2,1636.89,3478.0,28.0,28.0,35.0,40.0
Serbia,6292.54,7252.4,7733.8,9230.18,19146.0,21.0,19.0,35.0,46.0
Seychelles,16416.78,16910.69,12808.99,14653.31,25414.0,,,,
Sierra Leone,484.45,519.65,493.48,480.04,1725.0,47.0,42.0,,51.0
Singapore,61150.73,66859.34,60729.45,72794.0,97057.0,54.0,35.0,,45.0
Sint Maarten (Dutch part),29369.06,28988.26,,,,,,,
Slovakia,17585.2,19486.39,19545.74,21391.93,32709.0,28.0,25.0,32.0,41.0
Slovenia,23514.03,26123.75,25545.24,29291.4,40067.0,39.0,38.0,28.0,39.0
Solomon Islands,2283.58,2450.48,2222.47,2304.84,2455.0,,,,
Somalia,377.35,379.99,416.22,446.98,925.0,,,,
South Africa,6734.48,7048.52,5741.64,7055.04,12032.0,41.0,36.0,41.0,35.0
