Country,2018,2019,2021,2022,CAF_2018,CAF_2019,CAF_2021,CAF_2022
Lebanon,9225.85,8985.57,4136.15,11564.0,28.0,30.0,24.0,24.0
Lesotho,1161.73,1102.56,1094.1,2718.0,28.0,,,
Liberia,700.04,665.88,675.66,1557.0,47.0,44.0,,
Libya,11838.01,10542.15,6357.2,5893.0,45.0,,,
Liechtenstein,175283.63,167019.62,,,,,,
Lithuania,19186.36,19595.14,23723.34,38824.0,19.0,19.0,28.0,37.0
Luxembourg,116786.51,112621.82,133590.15,118001.0,41.0,40.0,,
Macao,84923.39,83183.17,43873.59,56078.0,,,,
Madagascar,512.54,512.28,500.51,1599.0,27.0,21.0,,
Malawi,537.93,584.36,634.84,993.0,35.0,38.0,,39.0
Malaysia,11074.06,11132.02,11109.26,27402.0,,,,
Maldives,10823.64,11118.56,10366.29,19609.0,,,,
Mali,856.36,840.18,873.79,2401.0,28.0,24.0,31.0,38.0
Malta,31567.94,31198.24,33486.67,42856.0,47.0,47.0,31.0,45.0
Marshall Islands,4769.19,5188.97,6172.15,3786.0,,,,
Mauritania,1749.95,1839.96,2166.05,5834.0,20.0,25.0,,
Mauritius,11645.98,11405.73,9106.24,20292.0,46.0,,34.0,37.0
Mexico,9857.03,10145.17,10045.68,19130.0,24.0,28.0,32.0,44.0
Micronesia (Federated States of),3623.33,3699.08,3571.34,3446.0,,,,
"Moldova, Republic of",4232.21,4493.37,5230.66,12811.0,27.0,26.0,,
Monaco,194280.82,199377.48,234315.46,,,,,
Mongolia,4165.02,4394.95,4566.14,11825.0,39.0,38.0,44.0,46.0
Montenegro,8850.09,8909.65,9465.7,,24.0,20.0,34.0,
Morocco,3492.67,3498.57,3795.38,7620.0,26.0,26.0,23.0,31.0
Mozambique,504.54,508.16,491.84,1277.0,29.0,,,34.0
Myanmar,1274.92,1295.2,1209.93,5242.0,54.0,58.0,51.0,52.0
Namibia,5687.4,5126.18,4865.56,9396.0,32.0,,37.0,35.0
Nauru,10400.99,9786.03,10648.14,9856.0,,,,
Nepal,1161.53,1185.68,1208.22,4061.0,37.0,33.0,40.0,40.0
Netherlands,53044.53,52476.27,57767.88,57534.0,51.0,53.0,37.0,46.0
New Caledonia,36312.73,34797.52,37159.55,,,,,
New Zealand,43250.44,42865.23,48781.03,42018.0,58.0,57.0,47.0,54.0
Nicaragua,1981.86,1890.27,2045.54,5575.0,33.0,30.0,37.0,40.0
Niger,567.33,550.96,590.63,1259.0,32.0,24.0,,
Nigeria,2125.83,2204.18,2065.75,5187.0,48.0,42.0,52.0,48.0
North Macedonia,6108.74,6070.39,6694.64,16712.0,20.0,,,
Northern Mariana Islands,25882.63,23707.33,,,,,,
Norway,82267.81,75719.75,89154.28,65800.0,50.0,,36.0,45.0
Oman,19887.57,19132.15,19509.47,30178.0,,,,
Pakistan,1620.74,1437.17,1505.01,5150.0,28.0,29.0,25.0,29.0
Palau,15948.28,15567.09,12083.89,14309.0,,,,
Panama,15588.34,15826.08,14617.6,27003.0,30.0,35.0,,36.0
Papua New Guinea,2584.3,2593.8,2672.95,3833.0,,,,
Paraguay,6242.96,5807.84,5891.5,12881.0,34.0,32.0,41.0,44.0
Peru,6912.11,6955.81,6621.57,11871.0,27.0,28.0,34.0,39.0
Philippines,3194.67,3413.85,3460.53,8452.0,28.0,39.0,33.0,47.0
Poland,15504.58,15699.91,17999.91,34103.0,24.0,25.0,38.0,47.0
Portugal,23562.55,23330.82,24567.51,34043.0,28.0,25.0,20.0,26.0
Puerto Rico,31615.07,32916.87,32640.71,34025.0,,,,
Qatar,66264.08,62637.28,66838.36,93508.0,,,,
Romania,12494.48,12958.08,14858.23,30526.0,27.0,24.0,28.0,30.0
